timestep,cumulative_wait_time
0,0.0
5,94.23280555555556
10,188.46561111111112
15,282.6984166666667
20,376.93122222222223
25,471.1640277777778
30,565.3968333333333
35,659.6296388888888
40,753.8624444444445
45,848.09525
50,942.3280555555556
55,1036.560861111111
60,1130.7936666666667
65,1225.0264722222223
70,1319.2592777777777
75,1413.4920833333333
80,1507.724888888889
85,1601.9576944444443
90,1696.1905
95,1790.4233055555555
100,1884.6561111111112
105,1978.8889166666665
110,2073.121722222222
115,2167.3545277777775
120,2261.5873333333334
125,2355.820138888889
130,2450.0529444444446
135,2544.28575
140,2638.5185555555554
145,2732.7513611111112
150,2826.9841666666666
155,2921.216972222222
160,3015.449777777778
165,3109.6825833333332
170,3203.9153888888886
175,3298.1481944444445
180,3392.381
185,3486.6138055555557
190,3580.846611111111
195,3675.0794166666665
200,3769.3122222222223
205,3863.5450277777777
210,3957.777833333333
215,4052.010638888889
220,4146.243444444444
225,4240.47625
230,4334.709055555555
235,4428.941861111111
240,4523.174666666667
245,4617.407472222222
250,4711.640277777778
255,4805.873083333333
260,4900.105888888889
265,4994.338694444445
270,5088.5715
275,5182.804305555555
280,5277.037111111111
285,5371.269916666666
290,5465.5027222222225
295,5559.735527777778
300,5653.968333333333
305,5748.201138888889
310,5842.433944444444
315,5936.66675
320,6030.899555555556
325,6125.132361111111
330,6219.3651666666665
335,6313.597972222222
340,6407.830777777777
345,6502.063583333334
350,6596.296388888889
355,6690.529194444444
360,6784.762
365,6878.994805555555
370,6973.227611111111
375,7067.460416666667
380,7161.693222222222
385,7255.926027777778
390,7350.158833333333
395,7444.391638888889
400,7538.624444444445
405,7632.85725
410,7727.090055555555
415,7821.322861111111
420,7915.555666666666
425,8009.7884722222225
430,8104.021277777778
435,8198.254083333333
440,8292.486888888889
445,8386.719694444444
450,8480.9525
455,8575.185305555555
460,8669.41811111111
465,8763.650916666667
470,8857.883722222223
475,8952.116527777778
480,9046.349333333334
485,9140.582138888889
490,9234.814944444444
495,9329.04775
500,9423.280555555555
505,9517.51336111111
510,9611.746166666666
515,9705.978972222221
520,9800.211777777778
525,9894.444583333334
530,9988.67738888889
535,10082.910194444445
540,10177.143
545,10271.375805555555
550,10365.60861111111
555,10459.841416666666
560,10554.074222222222
565,10648.307027777777
570,10742.539833333332
575,10836.77263888889
580,10931.005444444445
585,11025.23825
590,11119.471055555556
595,11213.703861111111
600,11307.936666666666
605,11402.169472222222
610,11496.402277777777
615,11590.635083333333
620,11684.867888888888
625,11779.100694444443
630,11873.3335
635,11967.566305555556
640,12061.799111111111
645,12156.031916666667
650,12250.264722222222
655,12344.497527777778
660,12438.730333333333
665,12532.963138888888
670,12627.195944444444
675,12721.42875
680,12815.661555555555
685,12909.894361111112
690,13004.127166666667
695,13098.359972222222
700,13192.592777777778
705,13286.825583333333
710,13381.058388888889
715,13475.291194444444
720,13569.524
725,13663.756805555555
730,13757.98961111111
735,13852.222416666666
740,13946.455222222223
745,14040.688027777778
750,14134.920833333334
755,14229.153638888889
760,14323.386444444444
765,14417.61925
770,14511.852055555555
775,14606.08486111111
780,14700.317666666666
785,14794.550472222221
790,14888.783277777778
795,14983.016083333334
800,15077.24888888889
805,15171.481694444445
810,15265.7145
815,15359.947305555555
820,15454.18011111111
825,15548.412916666666
830,15642.645722222222
835,15736.878527777777
840,15831.111333333332
845,15925.34413888889
850,16019.576944444445
855,16113.80975
860,16208.042555555556
865,16302.275361111111
870,16396.508166666667
875,16490.740972222222
880,16584.973777777777
885,16679.206583333333
890,16773.439388888888
895,16867.672194444443
900,16961.905
905,17056.137805555554
910,17150.37061111111
915,17244.603416666665
920,17338.83622222222
925,17433.069027777776
930,17527.301833333335
935,17621.53463888889
940,17715.767444444446
945,17810.00025
950,17904.233055555556
955,17998.46586111111
960,18092.698666666667
965,18186.931472222223
970,18281.164277777778
975,18375.397083333333
980,18469.62988888889
985,18563.862694444444
990,18658.0955
995,18752.328305555555
1000,18846.56111111111
1005,18940.793916666666
1010,19035.02672222222
1015,19129.259527777776
1020,19223.49233333333
1025,19317.725138888887
1030,19411.957944444443
1035,19506.19075
1040,19600.423555555557
1045,19694.656361111112
1050,19788.889166666668
1055,19883.121972222223
1060,19977.35477777778
1065,20071.587583333334
1070,20165.82038888889
1075,20260.053194444445
1080,20354.286
1085,20448.518805555555
1090,20542.75161111111
1095,20636.984416666666
1100,20731.21722222222
1105,20825.450027777777
1110,20919.682833333332
1115,21013.915638888888
1120,21108.148444444443
1125,21202.38125
1130,21296.614055555554
1135,21390.84686111111
1140,21485.079666666665
1145,21579.312472222224
1150,21673.54527777778
1155,21767.778083333335
1160,21862.01088888889
1165,21956.243694444445
1170,22050.4765
1175,22144.709305555556
1180,22238.94211111111
1185,22333.174916666667
1190,22427.407722222222
1195,22521.640527777778
1200,22615.873333333333
1205,22710.10613888889
1210,22804.338944444444
1215,22898.57175
1220,22992.804555555555
1225,23087.03736111111
1230,23181.270166666665
1235,23275.50297222222
1240,23369.735777777776
1245,23463.96858333333
1250,23558.201388888887
1255,23652.434194444446
1260,23746.667
1265,23840.899805555557
1270,23935.132611111112
1275,24029.365416666667
1280,24123.598222222223
1285,24217.83102777778
1290,24312.063833333334
1295,24406.29663888889
1300,24500.529444444444
1305,24594.76225
1310,24688.995055555555
1315,24783.22786111111
1320,24877.460666666666
1325,24971.69347222222
1330,25065.926277777777
1335,25160.159083333332
1340,25254.391888888887
1345,25348.624694444443
1350,25442.8575
1355,25537.090305555554
1360,25631.32311111111
1365,25725.555916666668
1370,25819.788722222223
1375,25914.02152777778
1380,26008.254333333334
1385,26102.48713888889
1390,26196.719944444445
1395,26290.95275
1400,26385.185555555556
1405,26479.41836111111
1410,26573.651166666667
1415,26667.883972222222
1420,26762.116777777777
1425,26856.349583333333
1430,26950.582388888888
1435,27044.815194444443
1440,27139.048
1445,27233.280805555554
1450,27327.51361111111
1455,27421.746416666665
1460,27515.97922222222
1465,27610.212027777776
1470,27704.44483333333
1475,27798.67763888889
1480,27892.910444444446
1485,27987.14325
1490,28081.376055555556
1495,28175.60886111111
1500,28269.841666666667
1505,28364.074472222223
1510,28458.307277777778
1515,28552.540083333333
1520,28646.77288888889
1525,28741.005694444444
1530,28835.2385
1535,28929.471305555555
1540,29023.70411111111
1545,29117.936916666666
1550,29212.16972222222
1555,29306.402527777776
1560,29400.63533333333
1565,29494.868138888887
1570,29589.100944444443
1575,29683.333749999998
1580,29777.566555555557
1585,29871.799361111112
1590,29966.032166666668
1595,30060.264972222223
1600,30154.49777777778
